id,endTime,ticket,startedAt,numberOfBets,payout,serverSeed,hash_result,difference
5e0ec6ee-2db2-4272-b913-b45e9da939c9,1726557735497,152,1726557728518,0,0,17f56b19467aaee1d1e703ad75562f46cce79673dcee5ccd6e34745c6641b551,569,-417
61bc9e37-d698-482e-a524-7bd68628b19d,1726557721216,104,1726557720562,0,0,1ca8c2a9f5a004ce7efd7d05f5594b1670ebb8a0238c73f0c2cca8de2ca38fc9,402,-298
9e32d33c-fd9e-4ed0-8126-bfcd6ecef8c3,1726557713428,1182,1726557672264,0,0,cbf379cef12ddd6d56b9ea161aa0a7c284dcae9fb2078a18ef48cff45c2cb568,218,964
9a27adc1-34b9-4eea-9656-494e4e4fb44e,1726557665158,266,1726557648852,0,0,7b7eeb60450c11c54e64fced889fe0de190d50cb151ed58fc5a35a3c70355bed,109,157
c346021b-c34d-42b7-bada-e16eb3256a38,1726557641798,101,1726557641632,0,0,b07addf60c255c62606024b85876d83e41f1be677341a38e532b0f422af7cdfe,103,-2
a2a827f6-e02b-4d65-8e75-35d920c37d67,1726557634311,127,1726557630327,1,0,1fc63f25f006aa5942c16d0ff1bad07b1f2326033701bf92d80d3198876c110f,253,-126
9cc38c02-c86d-4005-8874-a30403d27de2,1726557623266,2285,1726557571116,1,6225,69cde9573c58f073097acf4531299cb11103da175bf663d2dcb2abe22e5bdc23,114,2171
c7203786-4cd8-48d0-b81c-58eb520a30d3,1726557563840,334,1726557543740,1,0,cc7712867abcac0efb9d0d21344a8e486dfa5f5a704e1683d566341066e1ebfc,222,112
8d238ba0-b7fb-4419-9256-292668c7efe2,1726557536595,689,1726557504427,1,5325,dba7510e73cdacecf200160f488cf8467b639013775c498f422a92585e08cbba,293,396
02c2dcfa-3922-4653-95d1-31710abad205,1726557497161,315,1726557478037,1,0,d12ae723e60aeb36d92c5d7270e328e3c4b030cd821a954fa664c1f623d668f9,104,211
4b36020e-8a5c-4753-8f4c-26dda8fc2505,1726557470927,185,1726557460673,1,0,6c8ebc11c097628109f480ba91509c6032432cef4a6070ef3dc851ed39db3c22,205,-20
40bd7456-3c77-4979-9d05-c2bf3ce16eb9,1726557453581,257,1726557437849,1,0,ece2e2da85835dc658561116cdd7531fb97d4050482717673187d30935b0ae77,293,-36
c017ea0f-97f0-4202-936e-c6bda8683010,1726557430807,152,1726557423828,1,0,f46e15c05ad1bb7f10b1d0eef509366c7801530866fa806baea7edf40025ec29,3635,-3483
af6a192d-eeb0-446f-9e32-5d4c61dfea7d,1726557416622,160,1726557408788,1,0,0f888b203ea8dd69fb7eff345790598b6888596d9b11fcdebb27326a17dedee5,960,-800
80fda9b1-1241-4de4-ab6b-47da09ef7dab,1726557401490,106,1726557400518,1,0,17530252cced82638ce284b4d298e57796df86663613e7af40acfc70cf482b88,113,-7
2065d726-83fe-48d5-8e66-0aeb61a75440,1726557393335,103,1726557392842,1,0,238180c25623f94f9df7fe3048169d5a512fa2724e8cd4c9872d5599bb1f7490,168,-65
41d2fdbe-5001-4bed-8237-ea898ab62178,1726557385714,182,1726557375733,2,0,1aaa7b07d47e0eb6e2d30eb399e03d23fb12f8e7e151bfbb7716750bb979acf1,141,41
6526fbf4-1ff9-40be-9e07-83a713e6d5d0,1726557368590,356,1726557347427,1,0,833af5694ad71efef7f2c99562e826457142b4b649129fd65596e2de3d3c3f44,141,215
9a250422-087c-41c3-bf9b-4f8d00e22552,1726557340339,326,1726557320643,2,0,43ac12d45a59d215a07a3a32136d3ab9c000fceb268c5a58f5118df686981bc0,151,175
cc40b619-5ec0-44f5-99c4-f63f8a4a14eb,1726557313407,1272,1726557271020,1,3610,005b454fc4c8de5d996f44b81e6e7773f388f477a47104770e5e2e936897e9fb,806,466
